Species_rep	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-01782	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	
MGYG-HGUT-01783	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-01911	Desulfobacterota_A	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp002159665
MGYG-HGUT-04090	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-279	
MGYG-HGUT-01912	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	DTU089	
MGYG-HGUT-01914	Firmicutes_A	Clostridia	4C28d-15	CAG-727	QALS01	
MGYG-HGUT-02167	Firmicutes	Bacilli	RF39	CAG-611	CAG-611	
MGYG-HGUT-00959	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	
MGYG-HGUT-01920	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-01922	Firmicutes_A	Clostridia	TANB77	CAG-465	CAG-465	CAG-465 sp000433135
MGYG-HGUT-01923	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	
MGYG-HGUT-01925	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-04160	Firmicutes_A	Clostridia	Christensenellales	QALW01	QALW01	
MGYG-HGUT-00964	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salanitronis
MGYG-HGUT-01927	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	
MGYG-HGUT-04343	Firmicutes	Bacilli	RF39	CAG-822	RUG832	
MGYG-HGUT-01929	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	
MGYG-HGUT-02562	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	
MGYG-HGUT-01039	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-00960	Firmicutes_A	Clostridia	4C28d-15	UBA1242	UBA11517	
MGYG-HGUT-01041	Firmicutes	Bacilli	RF39	CAG-822		
MGYG-HGUT-03049	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1417	
MGYG-HGUT-01934	Firmicutes_A	Clostridia	Oscillospirales	CAG-272		
MGYG-HGUT-01228	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	
MGYG-HGUT-01046	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	
MGYG-HGUT-01947	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA1777	
MGYG-HGUT-00961	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	
MGYG-HGUT-02912	Firmicutes_A	Clostridia	4C28d-15	CAG-552	UBA10677	
MGYG-HGUT-01949	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
MGYG-HGUT-03815	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum sp900314855
MGYG-HGUT-02157	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	K10	K10 sp001689515
MGYG-HGUT-01665	Firmicutes_A	Clostridia	Christensenellales	QALW01		
MGYG-HGUT-01951	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
MGYG-HGUT-01955	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7096	
MGYG-HGUT-01956	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium	
MGYG-HGUT-01957	Firmicutes	Bacilli	Acholeplasmatales	CAG-307		
MGYG-HGUT-03164	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002361235
MGYG-HGUT-01960	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	QAMI01	
MGYG-HGUT-01117	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
MGYG-HGUT-01962	Firmicutes	Bacilli	RF39	CAG-611	CAG-877	
MGYG-HGUT-01966	Firmicutes_A	Clostridia	4C28d-15	UBA1242		
MGYG-HGUT-00963	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	CAG-617	
MGYG-HGUT-01970	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA2882	UBA2882 sp002362385
MGYG-HGUT-01972	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900315955
MGYG-HGUT-01973	Firmicutes_A	Clostridia	4C28d-15	CAG-917	CAG-349	CAG-349 sp001940895
MGYG-HGUT-01974	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	51-20	
MGYG-HGUT-00966	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
MGYG-HGUT-01998	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	
